spectrum_identity,material
marialite__r060526__raman__532__0__unoriented__raman_data_processed__31791,mineral
marialite__r060526__raman__780__0__unoriented__raman_data_processed__31793,mineral
marialite__r070689__raman__532__0__unoriented__raman_data_processed__23905,mineral
marialite__r070689__raman__780__0__unoriented__raman_data_processed__28953,mineral
marialite__r100112__raman__532__0__unoriented__raman_data_processed__34412,mineral
marialite__r100112__raman__780__0__unoriented__raman_data_processed__34414,mineral
marialite__r100167__raman__532__0__unoriented__raman_data_processed__34675,mineral
marialite__r100167__raman__780__0__unoriented__raman_data_processed__34677,mineral
maricite,mineral
maricite__r070273__raman__532__0__unoriented__raman_data_processed__20321,mineral
maricite__r070273__raman__785__0__unoriented__raman_data_processed__20325,mineral
maricopaite,mineral
maricopaite__r120147__raman__532__0__unoriented__raman_data_processed__37283,mineral
marinellite,mineral
marinellite__r070078__raman__532__0__unoriented__raman_data_processed__17277,mineral
marinellite__r070078__raman__785__0__unoriented__raman_data_processed__25068,mineral
markascherite,mineral
markascherite__r100030__raman__532__0__unoriented__raman_data_processed__33735,mineral
marokite,mineral
marokite__r060829__raman__532__0__unoriented__raman_data_processed__14531,mineral
marokite__r060829__raman__785__0__unoriented__raman_data_processed__12867,mineral
marokite__r070275__raman__532__0__unoriented__raman_data_processed__25736,mineral
marokite__r070275__raman__785__0__unoriented__raman_data_processed__20387,mineral
mars orange;,other material
mars red;,other material
mars yellow;,other material
marshite,mineral
marshite__r100001__raman__532__0__unoriented__raman_data_processed__33515,mineral
marshite__r100001__raman__780__0__unoriented__raman_data_processed__33520,mineral
marsturite,mineral
marsturite__r141119__raman__532__0__unoriented__raman_data_processed__38398,mineral
marsturite__r141119__raman__780__0__unoriented__raman_data_processed__38400,mineral
marsturite__r141122__raman__532__0__unoriented__raman_data_processed__38392,mineral
marsturite__r141122__raman__780__0__unoriented__raman_data_processed__38395,mineral
marsturite__r141210__raman__532__0__unoriented__raman_data_processed__38407,mineral
marsturite__r141210__raman__780__0__unoriented__raman_data_processed__38410,mineral
marthozite,mineral
marthozite__r090052__raman__532__0__unoriented__raman_data_processed__32821,mineral
mascagnite,mineral
mascagnite__r060640__raman__532__0__unoriented__raman_data_processed__11262,mineral
massicot,mineral
massicot 43010_532,other material
massicot 43010_638,other material
massicot 43010_785,other material
massicot;,other material
massicot__r060454__raman__532__0__unoriented__raman_data_processed__10004,mineral
mastix - mastic,other material
masutomilite,mineral
masutomilite__r061008__raman__532__0__unoriented__raman_data_processed__14310,mineral
matlockite,mineral
matlockite__r140538__raman__532__0__unoriented__raman_data_processed__38737,mineral
matlockite__r140538__raman__780__0__unoriented__raman_data_processed__38735,mineral
mattheddleite,mineral
mattheddleite__r070490__raman__532__0__unoriented__raman_data_processed__26249,mineral
mattheddleite__r070490__raman__785__0__unoriented__raman_data_processed__26248,mineral
mawbyite,mineral
mawbyite__r080011__raman__532__0__unoriented__raman_data_processed__26561,mineral
mawbyite__r080011__raman__780__0__unoriented__raman_data_processed__26559,mineral
maxwellite,mineral
maxwellite__r060955__raman__532__0__unoriented__raman_data_processed__13296,mineral
maxwellite__r060955__raman__785__0__unoriented__raman_data_processed__17806,mineral
maya blue 36007_532,other material
maya blue 36007_638,other material
maya blue 36007_785,other material
mbobomkulite,mineral
mbobomkulite__r060597__raman__532__0__unoriented__raman_data_processed__11169,mineral
mbzp hcl (lot #0450568-13),other material
mcgillite,mineral
mcgillite__r110206__raman__532__0__unoriented__raman_data_processed__36010,mineral
mcgillite__r110206__raman__780__0__unoriented__raman_data_processed__36012,mineral
mcgovernite,mineral
mcgovernite__r110030__raman__532__0__unoriented__raman_data_processed__35310,mineral
mcgovernite__r110030__raman__780__0__unoriented__raman_data_processed__35312,mineral
mcguinnessite,mineral
mcguinnessite__r070082__raman__532__0__unoriented__raman_data_processed__25070,mineral
mdmb-chmica (lot #0490914-16),other material
mdpe,poly(ethylene)
medaite,mineral
medaite__r130098__raman__532__0__unoriented__raman_data_processed__37476,mineral
medaite__r130098__raman__780__0__unoriented__raman_data_processed__37478,mineral
meieranite,mineral
meieranite__r140947__raman__532__0__unoriented__raman_data_processed__38286,mineral
meierite,mineral
meionite,mineral
meionite__r040169__raman__532__0__unoriented__raman_data_processed__30252,mineral
meionite__r040169__raman__785__0__unoriented__raman_data_processed__20882,mineral
melanophlogite,mineral
melanophlogite__r060863__raman__532__0__unoriented__raman_data_processed__13002,mineral
melanophlogite__r060863__raman__785__0__unoriented__raman_data_processed__18644,mineral
melanotekite,mineral
melanotekite__r090032__raman__532__0__unoriented__raman_data_processed__32163,mineral
melanotekite__r090032__raman__780__0__unoriented__raman_data_processed__32165,mineral
melanovanadite,mineral
melanovanadite__r050555-1__infrared__infrared_data_processed__689,mineral
melanovanadite__r050555__raman__532__0__unoriented__raman_data_processed__32365,mineral
melanovanadite__r050555__raman__780__0__unoriented__raman_data_processed__32367,mineral
melanovanadite__r060131__raman__532__0__unoriented__raman_data_processed__33028,mineral
melatonin,other material
melatonin (lot #slbq9501v),other material
meliphanite,mineral
meliphanite__r060786__raman__532__0__unoriented__raman_data_processed__12749,mineral
"mellilite, vesuvius, italy",other material
mellite,mineral
mellite__r070574__raman__532__0__unoriented__raman_data_processed__22998,mineral
mellite__r070574__raman__785__0__unoriented__raman_data_processed__23000,mineral
mendipite,mineral
mendipite__r050669-1__infrared__infrared_data_processed__1198,mineral
mendipite__r050669__raman__532__0__unoriented__raman_data_processed__32875,mineral
mendipite__r050669__raman__780__0__unoriented__raman_data_processed__32877,mineral
mendozavilite-nacu,mineral
mendozavilitenacu__r120038__raman__532__0__unoriented__raman_data_processed__36887,mineral
mendozavilitenacu__r120038__raman__532__0__unoriented__raman_data_processed__37900,mineral
mendozavilitenacu__r120038__raman__780__0__unoriented__raman_data_processed__37962,mineral
mendozite,mineral
mendozite__r070315__raman__532__0__unoriented__raman_data_processed__20623,mineral
meneghinite,mineral
meneghinite__r050444__raman__532__0__unoriented__raman_data_processed__30768,mineral
meneghinite__r050444__raman__780__0__unoriented__raman_data_processed__30770,mineral
meneghinite__r070093-1__infrared__infrared_data_processed__980,mineral
meneghinite__r070093__raman__532__0__unoriented__raman_data_processed__17575,mineral
meneghinite__r070093__raman__785__0__unoriented__raman_data_processed__25075,mineral
menezesite,mineral
mep-fubica  (lot #0502952-7),other material
meperidine hcl (lot #by-451),other material
meprobamate (lot #a159b),other material
mercallite,mineral
mercallite__r070072__raman__532__0__unoriented__raman_data_processed__17240,mineral
mercury,mineral
merino scoured wool made rough,organic matter
merino_scoured_wool_made_rough,organic matter
merlinoite,mineral
merlinoite__r130095__raman__532__0__unoriented__raman_data_processed__37566,mineral
merlinoite__r130095__raman__780__0__unoriented__raman_data_processed__37782,mineral
merrillite,mineral
merrillite__r150063__raman__532__0__unoriented__raman_data_processed__38366,mineral
merrillite__r150063__raman__780__0__unoriented__raman_data_processed__38371,mineral
merwinite,mineral
merwinite__r070195-1__infrared__infrared_data_processed__988,mineral
merwinite__r070195__raman__532__0__unoriented__raman_data_processed__25599,mineral
mes hydrate,other material
mescaline sulfate dihydrate (lot #96667-96k),other material
mesolite,mineral
mesolite__r040139__raman__514__0__unoriented__raman_data_processed__9683,mineral
mesolite__r040139__raman__532__0__unoriented__raman_data_processed__20550,mineral
mesolite__r040139__raman__785__0__unoriented__raman_data_processed__20552,mineral
mesolite__r040140__raman__514__0__unoriented__raman_data_processed__30235,mineral
mesolite__r040140__raman__532__0__unoriented__raman_data_processed__20659,mineral
mesolite__r040140__raman__785__0__unoriented__raman_data_processed__20661,mineral
mesolite__r050013-1__infrared__infrared_data_processed__310,mineral
mesolite__r050013__raman__532__0__unoriented__raman_data_processed__21117,mineral
mesolite__r050013__raman__785__0__unoriented__raman_data_processed__4375,mineral
meta-autunite,mineral
meta-fluorobutyryl fentanyl hcl (lot #0487107-35),other material
meta-fluoroisobutyryl fentanyl hcl (lot #0538870-1),other material
meta-phenylenediamine,other material
metaautunite__r050612-1__infrared__infrared_data_processed__607,mineral
metaautunite__r050612__raman__532__0__unoriented__raman_data_processed__32613,mineral
metaautunite__r050612__raman__780__0__unoriented__raman_data_processed__32615,mineral
metaautunite__r060434__raman__780__0__unoriented__raman_data_processed__35003,mineral
metaautunite__r060476__raman__532__0__unoriented__raman_data_processed__35142,mineral
metaautunite__r060476__raman__780__0__unoriented__raman_data_processed__35144,mineral
metaborite,mineral
metacinnabar,mineral
metacinnabar__r060950__raman__532__0__unoriented__raman_data_processed__38716,mineral
metacinnabar__r060950__raman__785__0__unoriented__raman_data_processed__13298,mineral
metaheinrichite,mineral
metaheinrichite__r060778__raman__532__0__unoriented__raman_data_processed__18808,mineral
metaheinrichite__r060778__raman__785__0__unoriented__raman_data_processed__12709,mineral
metahewettite,mineral
metakottigite,mineral
metamunirite,mineral
metamunirite__r060624__raman__532__0__unoriented__raman_data_processed__31666,mineral
metamunirite__r060624__raman__780__0__unoriented__raman_data_processed__31668,mineral
metarauchite,mineral
metarauchite__r120114__raman__532__0__unoriented__raman_data_processed__36948,mineral
metarauchite__r120114__raman__780__0__unoriented__raman_data_processed__36950,mineral
metarossite,mineral
metarossite__r060598__raman__532__0__unoriented__raman_data_processed__33866,mineral
metarossite__r060598__raman__780__0__unoriented__raman_data_processed__33868,mineral
metarossite__r100065__raman__532__0__unoriented__raman_data_processed__33862,mineral
metaschoderite,mineral
metaschoderite__r100023__raman__532__0__unoriented__raman_data_processed__33637,mineral
metastibnite,mineral
metastibnite__r060755__raman__532__0__unoriented__raman_data_processed__30706,mineral
metatorbernite,mineral
metatorbernite__r040171__raman__532__0__unoriented__raman_data_processed__23389,mineral
metatorbernite__r040171__raman__785__0__unoriented__raman_data_processed__22729,mineral
metatorbernite__r070509__raman__532__0__unoriented__raman_data_processed__22458,mineral
metatorbernite__r070509__raman__785__0__unoriented__raman_data_processed__22460,mineral
metatorbernite__r070683__raman__532__0__unoriented__raman_data_processed__36565,mineral
metatorbernite__r070683__raman__780__0__unoriented__raman_data_processed__36567,mineral
metatorbernite__r070686__raman__532__0__unoriented__raman_data_processed__36559,mineral
metatorbernite__r070686__raman__780__0__unoriented__raman_data_processed__36561,mineral
metatorbernite__r120014__raman__532__0__unoriented__raman_data_processed__36532,mineral
metatorbernite__r130109__raman__532__0__unoriented__raman_data_processed__37525,mineral
metatorbernite__r130109__raman__780__0__unoriented__raman_data_processed__37527,mineral
metatorbernite__r140872__raman__532__0__unoriented__raman_data_processed__38178,mineral
metatorbernite__r140872__raman__780__0__unoriented__raman_data_processed__38180,mineral
metauranocircite ii,mineral
metauranocircite-i,mineral
metauranocircitei__r050575__raman__532__0__unoriented__raman_data_processed__27896,mineral
metauranocircitei__r050575__raman__780__0__unoriented__raman_data_processed__27898,mineral
metauranocirciteii__r070721__raman__532__0__unoriented__raman_data_processed__27900,mineral
metavariscite,mineral
metavariscite__r050461__raman__532__0__unoriented__raman_data_processed__30890,mineral
metavoltine,mineral
metavoltine__r060835__raman__532__0__unoriented__raman_data_processed__26294,mineral
metavoltine__r070542__raman__532__0__unoriented__raman_data_processed__26293,mineral
metazeunerite,mineral
metazeunerite__r050524__raman__532__0__unoriented__raman_data_processed__32183,mineral
metazeunerite__r050524__raman__780__0__unoriented__raman_data_processed__32185,mineral
metazeunerite__r060301__raman__532__0__unoriented__raman_data_processed__34049,mineral
metazeunerite__r070314__raman__532__0__unoriented__raman_data_processed__20617,mineral
metazeunerite__r110205__raman__532__0__unoriented__raman_data_processed__35991,mineral
metazeunerite__r110205__raman__780__0__unoriented__raman_data_processed__35993,mineral
methacrylic acid,other material
methadone hcl (lot # a165a (e141978)),other material
methandriol (lot #29f0013),other material
methandrostenolone (lot #g675),other material
methaqualone base (lot #ce 5-10-91),other material
methaqualone hcl (lot #sfl1-rm-0005),other material
methenolone  (lot #b0463),other material
methenolone acetate (lot #40048503),other material
methiopropamine hcl (lot #n16-p88a),other material
methocarbamol (lot #102h7701),other material
methoxetamine hcl (lot #n16-p100c),other material
methoxphenidine hcl (lot #0459181-33),other material
methoxyacetyl fentanyl hcl (lot #alb-297-5),other material
methyl b-d-glucopyranoside,other material
methyl benzoate,other material
methyl cellulose,methyl cellulose
methyl crotonate,other material
methyl methacrylate,other plastic
methyl salicylate,other material
methyl vinyl ether,poly(methyl vinyl ether)
methyl vinyl ether maleic acid,poly(methyl vinyl ether)
methyl vinyl ether maleic anhydride,poly(methyl vinyl ether)
methylamine hcl (lot #01818mu),other material
methylcellulose_abm,methyl cellulose
methyldienolone (lot #0495035-7),other material
methylepitiostanol (lot #rm-170728-01),other material
metronidazole (lot #mkbz3056v),other material
meurigite-k,mineral
meurigitek__r070105__raman__532__0__unoriented__raman_data_processed__17776,mineral
meurigitek__r110135__raman__532__0__unoriented__raman_data_processed__35672,mineral
mexedrone hcl (lot #rm-160203-01),other material
meyerhofferite,mineral
meyerhofferite__r050671-1__infrared__infrared_data_processed__1185,mineral
meyerhofferite__r050671__raman__532__0__unoriented__raman_data_processed__32883,mineral
meyerhofferite__r050671__raman__780__0__unoriented__raman_data_processed__32885,mineral
mg o3 si,mineral
mg o5 ti2,mineral
mg2 o4 si,mineral
mg3 o8 p2,mineral
"mgo (merck) open since 6.3.07, today: 14.3.07",other material
miargyrite,mineral
miargyrite__altered__raman__532__0__unoriented__raman_data_processed__7114,mineral
miargyrite__r050440__raman__532__0__unoriented__raman_data_processed__30791,mineral
miargyrite__r050440__raman__780__0__unoriented__raman_data_processed__30789,mineral
miargyrite__r050480-1__infrared__infrared_data_processed__1113,mineral
miargyrite__r050480-1__infrared__infrared_data_processed__917,mineral
miargyrite__r050480__raman__532__0__unoriented__raman_data_processed__30784,mineral
miargyrite__r050480__raman__780__0__unoriented__raman_data_processed__30786,mineral
miassite,mineral
microcline,mineral
"microcline (ontario,wards)",other material
microcline__r040154__raman__514__0__unoriented__raman_data_processed__9631,mineral
microcline__r040154__raman__532__0__unoriented__raman_data_processed__20764,mineral
microcline__r040154__raman__785__0__unoriented__raman_data_processed__20766,mineral
microcline__r050054-1__infrared__infrared_data_processed__311,mineral
microcline__r050054__raman__514__0__unoriented__raman_data_processed__9930,mineral
microcline__r050054__raman__532__0__unoriented__raman_data_processed__21202,mineral
microcline__r050054__raman__785__0__unoriented__raman_data_processed__21204,mineral
microcline__r050150-1__infrared__infrared_data_processed__959,mineral
microcline__r050150__raman__514__0__unoriented__raman_data_processed__10165,mineral
microcline__r050150__raman__532__0__unoriented__raman_data_processed__27530,mineral
microcline__r050193-1__infrared__infrared_data_processed__1135,mineral
microcline__r050193-1__infrared__infrared_data_processed__867,mineral
microcline__r050193__raman__514__0__unoriented__raman_data_processed__10218,mineral
microcline__r050193__raman__532__0__unoriented__raman_data_processed__27812,mineral
microcline__r120005__raman__532__0__unoriented__raman_data_processed__36361,mineral
microcline__r120005__raman__780__0__unoriented__raman_data_processed__36363,mineral
microlite,mineral
microlite__r050625__raman__532__0__unoriented__raman_data_processed__32668,mineral
microlite__r080146__raman__532__0__unoriented__raman_data_processed__31612,mineral
microsommite,mineral
microsommite__r100090__raman__532__0__unoriented__raman_data_processed__34316,mineral
microsommite__r100090__raman__780__0__unoriented__raman_data_processed__34318,mineral
midazolam (lot #812032),other material
miersite,mineral
miersite__r110034__raman__532__0__unoriented__raman_data_processed__36324,mineral
miersite__r110034__raman__780__0__unoriented__raman_data_processed__36325,mineral
miersite__r110170__raman__532__0__unoriented__raman_data_processed__36319,mineral
miersite__r110170__raman__780__0__unoriented__raman_data_processed__36321,mineral
miguelromeroite,mineral
miguelromeroite__r070064__raman__532__0__unoriented__raman_data_processed__25061,mineral
miguelromeroite__r070064__raman__785__0__unoriented__raman_data_processed__25060,mineral
milarite,mineral
milarite__r070373__raman__532__0__unoriented__raman_data_processed__25896,mineral
milarite__r070373__raman__785__0__unoriented__raman_data_processed__20852,mineral
milarite__r070464__raman__532__0__unoriented__raman_data_processed__25898,mineral
milarite__r070464__raman__785__0__unoriented__raman_data_processed__25897,mineral
milarite__r120135__raman__532__0__unoriented__raman_data_processed__37036,mineral
milarite__r120135__raman__780__0__unoriented__raman_data_processed__37038,mineral
millerite,mineral
millerite__r060898__raman__532__0__unoriented__raman_data_processed__14775,mineral
millerite__r070323__raman__532__0__unoriented__raman_data_processed__20713,mineral
millerite__r080122__raman__532__0__unoriented__raman_data_processed__30438,mineral
mimetite,mineral
mimetite-m,mineral
mimetite__r040123__raman__514__0__unoriented__raman_data_processed__30219,mineral
mimetite__r040123__raman__532__0__unoriented__raman_data_processed__19720,mineral
mimetite__r040123__raman__785__0__unoriented__raman_data_processed__19722,mineral
mimetite__r050007-1__infrared__infrared_data_processed__312,mineral
mimetite__r050007__raman__514__0__unoriented__raman_data_processed__9843,mineral
mimetite__r050007__raman__532__0__unoriented__raman_data_processed__21017,mineral
mimetite__r050007__raman__785__0__unoriented__raman_data_processed__21019,mineral
mimetite__r050527-1__infrared__infrared_data_processed__691,mineral
mimetite__r050527__raman__532__0__unoriented__raman_data_processed__32196,mineral
mimetite__r050527__raman__780__0__unoriented__raman_data_processed__32198,mineral
mimetite__r060920__raman__532__0__unoriented__raman_data_processed__13183,mineral
mimetite__r070309__raman__532__0__unoriented__raman_data_processed__20580,mineral
mimetite__r070309__raman__785__0__unoriented__raman_data_processed__20582,mineral
mimetite__x060002__raman__532__0__unoriented__raman_data_processed__13120,mineral
mimetitem__r070138__raman__532__0__unoriented__raman_data_processed__18981,mineral
mimetitem__r070138__raman__785__0__unoriented__raman_data_processed__18983,mineral
mimetitem__r070146__raman__532__0__unoriented__raman_data_processed__31720,mineral
mimetitem__r070146__raman__780__0__unoriented__raman_data_processed__31722,mineral
minasgeraisite-(y),mineral
minasgeraisitey__r120134__raman__532__0__unoriented__raman_data_processed__37040,mineral
minasgeraisitey__r120134__raman__780__0__unoriented__raman_data_processed__37042,mineral
minasragrite,mineral
minasragrite__r130365__raman__532__0__unoriented__raman_data_processed__37917,mineral
minium,mineral
minium__r050426-1__infrared__infrared_data_processed__692,mineral
minium__r050426__raman__532__0__unoriented__raman_data_processed__22466,mineral
minium__r050426__raman__785__0__unoriented__raman_data_processed__22468,mineral
minium__r070508__raman__532__0__unoriented__raman_data_processed__22453,mineral
minium__r070508__raman__785__0__unoriented__raman_data_processed__22455,mineral
minyulite,mineral
minyulite__r070151__raman__532__0__unoriented__raman_data_processed__19285,mineral
minyulite__r070151__raman__785__0__unoriented__raman_data_processed__19287,mineral
minyulite__r100072__raman__532__0__unoriented__raman_data_processed__34120,mineral
minyulite__r100072__raman__780__0__unoriented__raman_data_processed__34122,mineral
miserite,mineral
miserite__r060095-1__infrared__infrared_data_processed__1188,mineral
miserite__r060095__raman__532__0__unoriented__raman_data_processed__30271,mineral
miserite__r060393__raman__532__0__unoriented__raman_data_processed__34840,mineral
mitragynine (lot #0439302-1),other material
mitridatite,mineral
mitridatite__r060367__raman__532__0__unoriented__raman_data_processed__9240,mineral
mixite,mineral
mixite__r070503__raman__532__0__unoriented__raman_data_processed__22303,mineral
mixture of ucar acrylate and acrylonitrile,other material
mmb 2201 (lot #0457890-18),other material
mmb-chmica (lot #0470336-17),other material
mmb-fubica (lot #0523265-1),other material
mn s,mineral
mn-18 (lot #0451967-39),other material
mn-24 (lot #rm-140320-01),other material
mn7 o12 si,mineral
mo o,mineral
mo o3,mineral
modal,other plastic
moissanite,mineral
moissanite__r061083__raman__532__0__unoriented__raman_data_processed__15925,mineral
moissanite__r061083__raman__785__0__unoriented__raman_data_processed__15927,mineral
moissanite__r110106__raman__532__0__unoriented__raman_data_processed__36250,mineral
moissanite__r110106__raman__780__0__unoriented__raman_data_processed__35865,mineral
moissanite__r150016__raman__532__0__unoriented__raman_data_processed__38316,mineral
moissanite__r150016__raman__780__0__unoriented__raman_data_processed__38318,mineral
molybdenite,mineral
molybdenite__r050209-1__infrared__infrared_data_processed__1091,mineral
molybdenite__r050209-1__infrared__infrared_data_processed__913,mineral
molybdenite__r050209__raman__532__0__unoriented__raman_data_processed__27913,mineral
molybdenite__r060124__raman__532__0__unoriented__raman_data_processed__32995,mineral
molybdenite__r060124__raman__780__0__unoriented__raman_data_processed__32997,mineral
molybdenum,mineral
molybdite,mineral
molybdite__r100217__raman__532__0__unoriented__raman_data_processed__35130,mineral
molybdite__r100217__raman__780__0__unoriented__raman_data_processed__35132,mineral
molybdofornacite,mineral
molybdofornacite__r061057__raman__532__0__unoriented__raman_data_processed__15065,mineral
molybdofornacite__r061057__raman__785__0__unoriented__raman_data_processed__15067,mineral
molybdofornacite__r150121__raman__532__0__unoriented__raman_data_processed__38835,mineral
molybdofornacite__r150121__raman__780__0__unoriented__raman_data_processed__38831,mineral
molybdofornacite__r150122__raman__532__0__unoriented__raman_data_processed__38840,mineral
molybdofornacite__r150122__raman__780__0__unoriented__raman_data_processed__38838,mineral
molybdomenite,mineral
molybdophyllite,mineral
molybdophyllite__r070222__raman__532__0__unoriented__raman_data_processed__25611,mineral
molybdophyllite__r070222__raman__785__0__unoriented__raman_data_processed__25612,mineral
mon jul 20 09:40:56 2015 (gmt+03:00),other material
monazite-(ce),mineral
monazite-(la),mineral
monazitece__r040106-1__infrared__infrared_data_processed__313,mineral
monazitece__r040106__raman__514__0__unoriented__raman_data_processed__9505,mineral
monazitece__r040106__raman__532__0__unoriented__raman_data_processed__15878,mineral
monazitece__r040106__raman__785__0__unoriented__raman_data_processed__15880,mineral
monazitece__r060925__raman__532__0__unoriented__raman_data_processed__13141,mineral
monazitece__r120146__raman__532__0__unoriented__raman_data_processed__37193,mineral
monazitela__r070263__raman__532__0__unoriented__raman_data_processed__20317,mineral
monetite,mineral
monetite__r070259__raman__532__0__unoriented__raman_data_processed__20273,mineral
monohydracalcite_synthesis_try3_7.07.14,other material
monohydrocalcite (synthetic),other material
monolinuron,other material
montebrasite,mineral
montebrasite__r040060-1__infrared__infrared_data_processed__314,mineral
montebrasite__r040060__raman__514__0__unoriented__raman_data_processed__9400,mineral
montebrasite__r040060__raman__532__0__unoriented__raman_data_processed__15143,mineral
montebrasite__r040060__raman__785__0__unoriented__raman_data_processed__15145,mineral
montebrasite__r040062-1__infrared__infrared_data_processed__203,mineral
montebrasite__r040062__raman__514__0__unoriented__raman_data_processed__9404,mineral
montebrasite__r040062__raman__532__0__unoriented__raman_data_processed__15160,mineral
montebrasite__r040062__raman__785__0__unoriented__raman_data_processed__15163,mineral
montebrasite__r050500-1__infrared__infrared_data_processed__937,mineral
montebrasite__r050500__raman__532__0__unoriented__raman_data_processed__32070,mineral
montebrasite__r050500__raman__780__0__unoriented__raman_data_processed__32068,mineral
montebrasite__r060890__raman__532__0__unoriented__raman_data_processed__13037,mineral
montebrasite__r060890__raman__785__0__unoriented__raman_data_processed__14695,mineral
monteregianite-(y),mineral
monteregianitey__r080109__raman__532__0__unoriented__raman_data_processed__30090,mineral
montgomeryite,mineral
"montgomeryite (castor, s. dakota)",other material
montgomeryite amorphous (kebara kesw213),other material
montgomeryite amorphous (kesw1 dark brwn g),other material
montgomeryite amorphous (kesw1 kebara),other material
"montgomeryite nmnh 150061 tip top mine, south dakota",other material
montgomeryite__r070631__raman__532__0__unoriented__raman_data_processed__28562,mineral
montgomeryite__r070631__raman__780__0__unoriented__raman_data_processed__28561,mineral
montgomeryite__r080094__raman__532__0__unoriented__raman_data_processed__29820,mineral
montgomeryite__r080094__raman__780__0__unoriented__raman_data_processed__29822,mineral
monticellite,mineral
monticellite__r040115__raman__514__0__unoriented__raman_data_processed__9521,mineral
monticellite__r040115__raman__532__0__unoriented__raman_data_processed__19702,mineral
monticellite__r040115__raman__785__0__unoriented__raman_data_processed__19700,mineral
monticellite__r100106__raman__532__0__unoriented__raman_data_processed__34416,mineral
monticellite__r100106__raman__780__0__unoriented__raman_data_processed__34418,mineral
monticellite__r100107__raman__532__0__unoriented__raman_data_processed__34394,mineral
monticellite__r100107__raman__780__0__unoriented__raman_data_processed__34396,mineral
monticellite__r100108__raman__532__0__unoriented__raman_data_processed__34398,mineral
monticellite__r100108__raman__780__0__unoriented__raman_data_processed__34400,mineral
montmorillonite,mineral
"montmorillonite (na) clay spur, wyoming",other material
"montmorillonite (na) clay spur, wyoming 225-4000",other material
montmorillonite heated 1000 c 4hrs,other material
montmorillonite heated 1100 c 4hrs,other material
montmorillonite heated 300 c 4hrs,other material
montmorillonite heated 400 c 4hrs,other material
montmorillonite heated 500 c 4hrs,other material
montmorillonite heated 600 c 4hrs,other material
montmorillonite heated 700 c 4rs,other material
montmorillonite heated 800 c 4hrs,other material
montmorillonite heated 900 c 4hrs,other material
montmorillonite no. 31,other material
"montmorillonite unheated (otay, california)",other material
montmorillonite-calcium (arizona),other material
montmorillonite__r110052__raman__532__0__unoriented__raman_data_processed__35457,mineral
montmorillonite__r110053__raman__532__0__unoriented__raman_data_processed__35458,mineral
montmorrilonite (sodium) swy-1,other material
montroseite__r060576__raman__532__0__unoriented__raman_data_processed__11187,mineral
montroydite,mineral
montroydite__r070235__raman__532__0__unoriented__raman_data_processed__20331,mineral
montroydite__r070235__raman__785__0__unoriented__raman_data_processed__20333,mineral
montroydite__r140877__raman__532__0__unoriented__raman_data_processed__38187,mineral
montroydite__r140877__raman__780__0__unoriented__raman_data_processed__38191,mineral
mooreite,mineral
mooreite__r060089-1__infrared__infrared_data_processed__1175,mineral
mooreite__r060089__raman__532__0__unoriented__raman_data_processed__27622,mineral
mooreite__r060089__raman__780__0__unoriented__raman_data_processed__30266,mineral
mopungite,mineral
moraesite,mineral
moraesite__r060876__raman__514__0__unoriented__raman_data_processed__21724,mineral
moraesite__r060876__raman__532__0__unoriented__raman_data_processed__21739,mineral
moraesite__r060876__raman__785__0__unoriented__raman_data_processed__21741,mineral
moraesite__r070480__raman__532__0__unoriented__raman_data_processed__22229,mineral
mordenite,mineral
mordenite__r061118__raman__532__0__unoriented__raman_data_processed__18144,mineral
mordenite__r070524__raman__532__0__unoriented__raman_data_processed__22552,mineral
morinite,mineral
morinite__r070529__raman__532__0__unoriented__raman_data_processed__26277,mineral
morinite__r070529__raman__785__0__unoriented__raman_data_processed__26276,mineral
morphine base monohydrate (lot #n14-p61),other material
morphine hcl trihydrate (lot #x07917),other material
mortar roman homogenized (august's bridge 27bc; p. tiano),other material
mos - 87 - 2b,other material
mosandrite-(ce),mineral
mosandrite__r100097__raman__532__0__unoriented__raman_data_processed__34351,mineral
mottramite,mineral
mottramite__r050517-1__infrared__infrared_data_processed__1241,mineral
mottramite__r050517__raman__532__0__unoriented__raman_data_processed__22134,mineral
mottramite__r050521-1__infrared__infrared_data_processed__694,mineral
mottramite__r050521__raman__532__0__unoriented__raman_data_processed__32175,mineral
mottramite__r050521__raman__780__0__unoriented__raman_data_processed__32177,mineral
mottramite__r120112__raman__532__0__unoriented__raman_data_processed__36958,mineral
mottramite__r120112__raman__780__0__unoriented__raman_data_processed__36956,mineral
motukoreaite,mineral
motukoreaite__r070337__raman__532__0__unoriented__raman_data_processed__20838,mineral
mowilith,other material
mowiol,other material
mowital,other material
mozartite,mineral
mozartite__r070265__raman__532__0__unoriented__raman_data_processed__20256,mineral
mozartite__r070265__raman__785__0__unoriented__raman_data_processed__25726,mineral
mt-45 dihcl   (lot #0450699-5),other material
mucic acid,other material
muirite,mineral
muirite__r120160__raman__532__0__unoriented__raman_data_processed__37222,mineral
mullite,mineral
munakataite,mineral
munakataite__r110005__raman__532__0__unoriented__raman_data_processed__35234,mineral
munakataite__r110006__raman__532__0__unoriented__raman_data_processed__35278,mineral
murdochite,mineral
murdochite__r050381__raman__532__0__unoriented__raman_data_processed__29711,mineral
murdochite__r110122__raman__532__0__unoriented__raman_data_processed__36265,mineral
murmanite,mineral
murmanite__r060886__raman__532__0__unoriented__raman_data_processed__13027,mineral
